line	text	TextType	WordCountinSent	SentCount
1	Deniz yıldızları sıcak, soğuk ya da tropikal denizlerde yaşayabilen canlılardır.	inf_T1	10	23
2	Deniz yıldızları metrelerce derinliklerde yaşayabilirler.	inf_T1	5	23
3	Deniz yıldızı denince genellikle beş kollu deniz yıldızları akla gelir.	inf_T1	10	23
4	Ancak yedi kollu olduğu gibi on beş kollu deniz yıldızları da vardır.	inf_T1	12	23
5	Hatta bazıları kırk kolludur.	inf_T1	4	23
6	Deniz yıldızlarının rengi pembe, turuncu, mavi ya da gri gibi farklı renklerde olabilir.	inf_T1	13	23
7	Deniz yıldızları tehlikeli anlarda sümüksü kötü kokulu bir sıvı salgılayarak kendilerini düşmanlardan koruma özelliğine sahiplerdir.	inf_T1	15	23
8	Bunun yanı sıra, bazen de kendilerini savunmak için vücutlarının bir kısmını ayırırlar.	inf_T1	12	23
9	Ayrılan parçanın yerine yenisini hemen oluşturabilirler.	inf_T1	6	23
10	Çünkü vücutlarının kendi kendini yenileme özelliği vardır.	inf_T1	7	23
11	Böylece kısa sürede eski hallerine dönüşürler.	inf_T1	6	23
12	Tıpkı bir tembel hayvan gibi yavaş hareket ederler.	inf_T1	8	23
13	Fakat hızlı hareket edebilen türleri de vardır.	inf_T1	7	23
14	Deniz yıldızları ot yemezler.	inf_T1	4	23
15	Etoburlardır.	inf_T1	1	23
16	Yengeç, midye ve istiridye gibi deniz canlılarını yerler.	inf_T1	8	23
17	Kolları sayesinde avlarına ulaşırlar.	inf_T1	4	23
18	Ayaklarının altında bulunan vantuzlar sayesinde sert kabuklu canlıları tutarlar, içlerini açarlar, bu canlıların içindeki yumuşak kısımları yerler.	inf_T1	17	23
19	Ağızları vücutlarının alt tarafındadır.	inf_T1	4	23
20	Beyinleri yoktur ama kalpleri vardır.	inf_T1	5	23
21	Bu yönleri ile deniz analarına benzerler.	inf_T1	6	23
22	Bir deniz yıldızı on ile otuz beş yıl arasında yaşar.	inf_T1	10	23
23	Deniz yıldızları bölünerek çoğalırlar.	inf_T1	4	23
1	Deniz yıldızları sıcak, soğuk ve derin denizlerde yaşayabilen canlılardır.	inf_T2	9	18
2	Deniz yıldızı denince genellikle beş kollu olanları akla gelir.	inf_T2	9	18
3	Ancak yedi, on beş ya da otuz kollu olanları da vardır.	inf_T2	11	18
4	Hatta bazı türleri kırk kolludur.	inf_T2	5	18
5	Deniz yıldızlarının pembe, turuncu, mavi ve kahverengi gibi farklı farklı renkleri olabilir.	inf_T2	12	18
6	Beyinleri yoktur ama kalpleri vardır.	inf_T2	5	18
7	On ile otuz beş yıl arasında yaşarlar.	inf_T2	7	18
8	Bölünerek çoğalırlar.	inf_T2	2	18
9	Deniz yıldızları genellikle yavaş hareket eden canlılardır.	inf_T2	7	18
10	Fakat çok hızlı hareket edebilen türleri de vardır.	inf_T2	8	18
11	Tehlikeli anlarda sümüksü, kötü kokulu, yapışkan bir sıvı salgılarlar.	inf_T2	9	18
12	Bu sıvı ile kendilerini düşmanlardan korurlar.	inf_T2	6	18
13	Bunun yanı sıra, bazen de kendilerini düşmanlarına karşı savunmak için vücutlarının bir kısmını ayırırlar.	inf_T2	14	18
14	Ayrılan bu parçanın yerine yeni parçaları kolaylıkla oluşturabilirler çünkü vücutlarının kendi kendini hızla yenileme özelliği vardır.	inf_T2	16	18
15	Deniz yıldızlarının ağızları vücutlarının alt tarafındadır.	inf_T2	6	18
16	Ot yemezler.	inf_T2	2	18
17	Yengeç ve midye gibi kabuklu deniz canlılarıyla beslenirler.	inf_T2	8	18
18	Ayaklarının yapışkan yapısıyla bu sert kabuklu canlıları tutarlar, içlerini açarlar ve yumuşak kısımlarını yerler.	inf_T2	14	18
1	Deniz yıldızları hem sıcak hem soğuk hem de tropikal denizlerde yaşayabilen canlılardır.	inf_T3	12	22
2	Bu canlılar birkaç kilometre derinliğe kadar olan bölgelerde yaşayabilirler.	inf_T3	9	22
3	Diğer yandan yedi kollu ve on beş kollu olanlar da bulunmaktadır.	inf_T3	11	22
4	Kırk kollu olan türleri bile vardır.	inf_T3	6	22
5	Deniz yıldızları, pembeden turuncuya, maviden griye çeşitli renklerde karşımıza çıkabilirler.	inf_T3	10	22
6	Tehlikeyi algılayıp yapışkan ve kötü kokulu salgıları ile kendilerini düşmanlara karşı savunabilirler.	inf_T3	12	22
7	Kimi zaman ise kendilerini korumak amacıyla vücutlarının bazı bölümlerini koparırlar.	inf_T3	10	22
8	Rejenerasyon yetenekleri sayesinde bu bölümleri onarabilirler, kopan parçaların yerine yeni uzuvlar geliştirebilirler, kısa zamanda önceki formlarına kavuşurlar.	inf_T3	17	22
9	Adeta ağır hareket eden aylak hayvan gibidirler.	inf_T3	7	22
10	Ancak bazıları da çabuk hareket edebilir.	inf_T3	6	22
11	Deniz yıldızları otobur/herbivor canlılar değildir (değillerdir?).	inf_T3	7	22
12	Karnivorlardır.	inf_T3	1	22
13	Yengeç, midye, istiridye gibi deniz hayvanlarını yiyerek yaşarlar.	inf_T3	8	22
14	Kolları aracılığıyla avlanırlar.	inf_T3	3	22
15	Ayaklarının alt tarafındaki çekmenler ile sert kabukluları yakalarlar ve sonra içlerini açarlar.	inf_T3	12	22
16	Bunların yumuşak vücut parçalarıyla beslenirler.	inf_T3	5	22
17	Ayrıca, ağızları aşağı bölgededir.	inf_T3	4	22
18	Beyin olmayan sinir sistemleri vardır.	inf_T3	5	22
19	Öte yandan kalpleri vardır.	inf_T3	4	22
20	Bu açıdan deniz anaları gibidir.	inf_T3	5	22
21	Ayrıca, deniz yıldızları onlarca yıl canlı kalabilen bir omurgasız türüdür.	inf_T3	10	22
22	Deniz yıldızları, mitoz hücre bölünmesi ile çoğalan ve yavrular oluşturan deniz canlılarıdır.	inf_T3	12	22
